"stock";"scenario";"term";"catch";"f";"hr";"ssb";"catch.iyv";"catch.MSY";"ssb.B0";"f.Fmsy";"quotaUpt";"depl.ini";"IAVhist";"RiskBlim.ini";"IAV";"Risk1.Collapse";"Risk1.Blim";"Risk3.Collapse";"Risk3.Blim";"Risk2.Collapse";"Risk2.Blim";"Risk.hrmax";"catch.var";"catch.low";"ucplow";"ucpup";"ICVperc_average";"ICVabsperc_average";"ICVperc_median";"ICVabsperc_median";"IBVperc_average";"IBVabsperc_average";"IBVperc_median";"IBVabsperc_median"
"STK1";"sc001265";"long";7282.44660149718;0.0802262158429919;0.0864600424759374;122071.130862198;1.03269666880105;0.265213479004443;1.22071130862198;0.101552171953154;0.999210395671322;0.800214527826239;0.46933543309269;0.016;0.407502677001203;0.0068;0.0117;0.014;0.021;0.02;0.041;0.0162;60004554.0450739;0.378;0.0140233063401146;0.357302005266356;0.0744617905247051;0.415400201233848;-0.00832390257332394;0.385785232870078;0.174413374046;0.474432135615359;-0.0627716911728732;0.306289160717482
"STK1";"sc001266";"short";21185.2575955511;1.48509399376713;2.02637768192223;31563.2603440036;1.00811720386496;0.771528605423112;0.315632603440036;1.8798658148951;0.847568208169457;0.230196099634447;0.640948409628246;0.603;0.76879256272933;0.4258;0.571;0.443;0.604;0.754;0.912;0.3182;361553123.067532;0.266;0.392133492252682;0.677003624647604;-0.011209248416815;0.602897432492249;-0.164380701755207;0.699534619604778;0.548913608820896;1.07834175352016;0.0048720421378371;0.66710804749209
"STK1";"sc001266";"mid";13224.9559264742;0.764217179317453;1.11165988926474;48900.3319449098;1.00385950249616;0.481628875963135;0.489003319449098;0.967363518123359;0.932278137010708;0.230196099634447;0.640948409628246;0.603;0.723462393441017;0.3408;0.4426;0.422;0.535;0.551;0.694;0.165;211092943.138984;0.462;0.43545183714002;0.740120562625586;0.17842133758358;0.633977586372457;0.41953999684862;0.773709209590271;0.769259723429106;1.12930941303248;0.212963318388362;0.611655678226781
"STK1";"sc001266";"long";8521.63716732911;0.121409568863672;0.137873495395474;115010.045998638;1.02382052038571;0.310342548820926;1.15010045998638;0.153682998561611;0.997359764737969;0.230196099634447;0.640948409628246;0.603;0.435224154829528;0.0224;0.0354;0.044;0.069;0.071;0.133;0.0088;86830549.4720392;0.4;0.0333611342785655;0.412567255956956;0.107211619034655;0.438952305977211;0.0376141739024436;0.411543957462237;0.233393647180766;0.53269818657378;-0.0449658666466282;0.317987623739123
"STK1";"sc001267";"short";30113.0491879677;1.07973741327284;1.49918165389127;72960.1627286181;1.00667667249765;1.09666256075684;0.729601627286181;1.36675621933271;0.901420355020818;0.645281848053348;0.706796128547086;0.201;0.817063900452936;0.2498;0.3584;0.279;0.375;0.506;0.684;0.3196;809827107.18168;0.208;0.351542177629134;0.6240796881767;-0.0351057411480314;0.586160700477337;-0.176233125946909;0.692090078276912;0.707453115158147;1.26922329051929;-0.0889473918173025;0.632985802181665
"STK1";"sc001267";"mid";14892.2949029326;0.529069482725255;0.781413991734886;92606.6629380764;0.993121413141263;0.542350333300748;0.926066629380764;0.669708205981335;0.950146811699358;0.645281848053348;0.706796128547086;0.201;0.748153172480915;0.2128;0.2834;0.261;0.348;0.351;0.479;0.1454;325142941.334384;0.378;0.333791838606144;0.688187300461156;0.13812090800108;0.600266606395785;0.20869370242727;0.74481111837756;0.88109969686588;1.28356117552819;0.0427176921560295;0.517337876829833
"STK1";"sc001267";"long";5378.25823536239;0.0630008712980775;0.0762200551044044;157879.930133763;1.06096240324415;0.195866397055559;1.57879930133763;0.0797479383519968;0.998371526825685;0.645281848053348;0.706796128547086;0.201;0.529475093227822;0.0217;0.0309;0.037;0.051;0.05;0.091;0.0081;63986661.7377508;0.666;0.0327643711987444;0.463389761370589;0.0747868972196681;0.465129968390458;-0.0154252880585659;0.460073701102258;0.348521662392003;0.708052529140567;-0.102706012625045;0.372117480493416
"STK1";"sc001268";"short";29255.0479702397;0.593834104745447;0.746313268463888;104573.049491461;1.03201693993093;1.06541571469045;1.04573049491461;0.75168874018411;0.969643925334735;1.00564691200683;0.611523848851884;0.054;0.676056689201309;0.081;0.157;0.101;0.175;0.212;0.398;0.2832;617147283.097751;0.118;0.189340290719344;0.53819594302978;-0.00074476958646912;0.537240237041474;-0.109701992970338;0.607761518652572;0.511564056263691;0.999189133136025;-0.0984156048594088;0.514901723280325
"STK1";"sc001268";"mid";15228.5926707443;0.35074965098441;0.491856879750594;118701.840296786;0.98695749470156;0.554597687227715;1.18701840296786;0.443986899980266;0.97242577135415;1.00564691200683;0.611523848851884;0.054;0.654257923862481;0.0974;0.14;0.113;0.165;0.179;0.268;0.1356;278169171.036474;0.286;0.200936568752661;0.572614107883817;0.0955129094471112;0.548324125606776;0.0714280425996808;0.628039035072771;0.590780773277287;0.994967572028544;-0.0544460942859438;0.450086993231252
"STK1";"sc001268";"long";4447.98907043173;0.0442742008798884;0.0511985940407625;162734.683099869;1.06859528589337;0.161987683603531;1.62734683099869;0.0560432922530233;0.998782330338774;1.00564691200683;0.611523848851884;0.054;0.514247340960896;0.0099;0.0163;0.018;0.026;0.025;0.056;0.0085;42995870.1422074;0.72;0.0216730038022814;0.4457805907173;0.0565298194116719;0.454345172038954;-0.0411729428728013;0.445970184001952;0.304726235391823;0.665389612421997;-0.112777812483484;0.365774007942833
"STK1";"sc001269";"short";22519.9076890194;1.40030305431337;1.99788698628203;46330.8176453612;1.04182893212171;0.820134137864583;0.463308176453612;1.77253551178908;0.839708809121988;0.284183540051416;0.831463154618002;0.594;0.908410691994749;0.4386;0.5602;0.468;0.605;0.749;0.881;0.3148;582505218.314528;0.33;0.450282942603072;0.725257323832146;0.00765329525962185;0.629026605404476;-0.140798475400748;0.729269021948307;1.00674324197189;1.5709056974884;-0.000538562846760904;0.724054354356944
"STK1";"sc001269";"mid";13993.9714880408;0.710418681717026;1.05993500067929;71199.4815633568;1.03167806459771;0.509635026045955;0.711994815633568;0.899264154072184;0.924749494764671;0.284183540051416;0.831463154618002;0.594;0.828763185575243;0.3304;0.4132;0.403;0.488;0.526;0.65;0.158;324421916.845599;0.466;0.421128798842258;0.744106593782029;0.167947820563034;0.630546258756321;0.380930964087156;0.780447506093801;1.12139334935032;1.53266123744683;0.119597301716635;0.607264656479098
"STK1";"sc001269";"long";5854.20013362811;0.07457413940254;0.0906851669320685;153627.229777821;1.01753025472129;0.213199336595011;1.53627229777821;0.0943976448133417;0.994660741487516;0.284183540051416;0.831463154618002;0.594;0.545324346148551;0.0304;0.0422;0.052;0.078;0.072;0.121;0.007;82494895.3975039;0.639;0.0348439073514602;0.48480635551142;Inf;Inf;0.00780815793090317;0.472315212826361;0.395786167443737;0.751198895071441;-0.0931627378643671;0.376193790139198
"STK1";"sc001270";"short";41646.7899362535;1.35623652777694;1.56182154965018;52312.4186056523;1.00004025011816;0.913157480972443;0.523124186056523;1.00461965020514;0.917880681413879;0.457641763207798;0.482924435834651;0.042;0.480524844024569;0.0924;0.2018;0.113;0.243;0.391;0.686;0.271;423924570.640323;0;0.0917355371900826;0.460077519379845;0.0482070370223913;0.47293822041114;-0.0398960696256834;0.486817729901339;0.578821477477248;1.01060975643684;0.0518493553293088;0.551383347120556
"STK1";"sc001270";"mid";32600.2505752018;0.851183470318041;0.960848115853878;66744.0506481516;0.996567476324271;0.714800894375959;0.667440506481516;0.63050627430966;0.965486312927329;0.457641763207798;0.482924435834651;0.042;0.434132904310075;0.0484;0.1052;0.06;0.144;0.205;0.38;0.1378;331717859.983979;0;0.102252252252252;0.49568345323741;0.11923669945784;0.49218364030846;0.080690045827971;0.521037140251449;0.470349664212655;0.821873387208245;0.0374468854652868;0.416144739707491
"STK1";"sc001270";"long";17732.2569937893;0.263007349560399;0.26925834171559;90912.0336895454;1.00563444165496;0.388801709644113;0.909120336895454;0.194820258933629;0.99832393938284;0.457641763207798;0.482924435834651;0.042;0.327902067119868;0.0037;0.0084;0.007;0.014;0.032;0.067;0.0129;132379615.871794;0.012;0.0119578435346575;0.266285037504935;0.075725020023228;0.38090921614507;0.0102015220682857;0.339302289489354;0.141234978214621;0.409378345445069;-0.0291578923581539;0.269667555552553
"STK1";"sc001271";"short";34568.4734645664;0.810263078428422;0.849431917755223;66635.6300890506;1.00152662760949;0.757956620384987;0.666356300890506;0.600194872909942;0.977855072016195;0.632974821228421;0.388791548688503;0.002;0.412954143686316;0.0246;0.0706;0.029;0.088;0.117;0.292;0.2652;302772450.482635;0;0.0393258426966292;0.339314194577352;0.0464991899830845;0.42854491427734;-0.0145367020726669;0.414862429358624;0.304398139335922;0.668625901127801;0.00665853456242027;0.401321025518377
"STK1";"sc001271";"mid";27355.7581743078;0.563902539664867;0.605794956981175;75865.2312807482;0.980459913515137;0.599808899143919;0.758652312807482;0.417705584936938;0.988416289683807;0.632974821228421;0.388791548688503;0.002;0.391149392217231;0.0186;0.0494;0.029;0.066;0.079;0.192;0.1626;237924474.70833;0;0.0588740868070477;0.390198279087168;0.100150137247746;0.450706687082409;0.0504768796469376;0.435167759475849;0.301554242065465;0.617120828538737;0.00276932142314346;0.346315976249458
"STK1";"sc001271";"long";15675.6393924577;0.21163460996736;0.21349009555099;93862.8334538779;1.01156722287775;0.343707820030289;0.938628334538779;0.1567663777536;0.999480506542797;0.632974821228421;0.388791548688503;0.002;0.315501112893231;0.0011;0.0043;0.003;0.009;0.011;0.037;0.0239;101080536.786037;0.018;0.00682730923694779;0.242629482071713;0.0696388199558638;0.366547680099628;0.00327744738595726;0.321546747073532;0.117049112060653;0.376015987968179;-0.0326015357147574;0.258392463465386
"STK1";"sc001272";"short";47937.6819695091;1.97140747196731;2.53185423376177;38842.8998648717;0.997962863165323;1.05109308491575;0.388428998648717;1.46030183108689;0.802075980854169;0.328139144373076;0.576203984974747;0.216;0.525945525748783;0.2006;0.3786;0.25;0.453;0.723;0.944;0.2888;497036282.819755;0;0.127548806941432;0.546938775510204;0.0543453083338781;0.479913350967022;-0.0750965302500097;0.473474563087687;0.81579962367896;1.30943186934886;0.056880201026828;0.678190931696637
"STK1";"sc001272";"mid";37891.8086581914;1.21894864104878;1.46349731384901;56683.4944321233;1.00492569168122;0.830824863015037;0.566834944321233;0.902924919295395;0.92129698519701;0.328139144373076;0.576203984974747;0.216;0.477036228159282;0.1002;0.1982;0.128;0.239;0.372;0.609;0.1346;423831860.909626;0;0.134935304990758;0.578631875881523;0.133422760923602;0.520811981318426;0.101321210392441;0.562537189573817;0.67649658290624;1.0598646306709;0.0640812721396773;0.502740225918707
