"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.12;0.2;0.8;112354.091418788;112354.091418788;88888.1875676473;27206345.9559732;0.00326718581434975;0.12;0.2;0.8;9447.14463354603;0.267741727150609;0.732258272849391;0.000347240480174512;0.0840836725592202;0.106281215671727;1;27489765.5170204;1e+05;0.00363771746027024;0.989689997141964;0.888881875676473;0.8981417193701;67208.6876364044;0.748326864369475;FALSE;FALSE
0.13;0.2;0.8;111405.265499288;111405.265499288;88079.309061773;27183183.553831;0.00324021315926256;0.13;0.2;0.8;10119.2315099101;0.268515114463331;0.731484885536669;0.000372260721039936;0.0908326142804695;0.114887725820069;1;27489765.5170204;1e+05;0.00363771746027024;0.988847414395019;0.88079309061773;0.890726999732919;65685.4436741674;0.731366491863806;FALSE;FALSE
0.14;0.2;0.8;110476.386363653;110476.386363653;87286.0295962556;27160090.2101659;0.00321376066577219;0.14;0.2;0.8;10776.0859466518;0.269290282070981;0.730709717929019;0.000396761787728462;0.0975419843221543;0.12345716716062;1;27489765.5170204;1e+05;0.00363771746027024;0.988007343800354;0.872860295962556;0.88345527129901;64207.8419338818;0.714914317063478;FALSE;FALSE
0.15;0.2;0.8;109566.874892084;109566.874892084;86507.9035944319;27137065.6568598;0.00318781347579355;0.15;0.2;0.8;11418.1643659906;0.270067214739796;0.729932785260204;0.000420758991055625;0.104211828412891;0.131989840136705;1;27489765.5170204;1e+05;0.00363771746027024;0.987169775604587;0.865079035944319;0.876322449615626;62774.1463193069;0.698951009618474;FALSE;FALSE
0.16;0.2;0.8;108676.173541041;108676.173541041;85744.5019577734;27114109.6170912;0.00316235728071723;0.16;0.2;0.8;12045.9058291836;0.270845897311489;0.729154102688511;0.000444267062400256;0.110842196929528;0.140486043468022;1;27489765.5170204;1e+05;0.00363771746027024;0.98633469973774;0.857445019577734;0.86932460127959;61382.7007678122;0.683458130303169;FALSE;FALSE
0.17;0.2;0.8;107803.745358989;107803.745358989;84995.4113174717;27091221.8056598;0.00313737829645301;0.17;0.2;0.8;12659.7328368618;0.27162631470225;0.728373685297749;0.000467300180393375;0.117433144782721;0.148946074154234;1;27489765.5170204;1e+05;0.00363771746027024;0.985502105825025;0.849954113174717;0.862457937076824;60031.9268624872;0.66841810442865;FALSE;FALSE
0.18;0.2;0.8;106949.073247548;106949.073247548;84260.2334518294;27068401.9332283;0.00311286324400238;0.18;0.2;0.8;13260.0521054866;0.272408451932144;0.727591548067856;0.000489871996810015;0.123984731263584;0.157370227475898;1;27489765.5170204;1e+05;0.00363771746027024;0.984671983341174;0.842602334518294;0.85571880664177;58720.3099719376;0.65381406751799;FALSE;FALSE
0.19;0.2;0.8;106111.658297749;106111.658297749;83538.5841052262;27045649.6907112;0.00308879931007601;0.19;0.2;0.8;13847.255205206;0.273192294000794;0.726807705999206;0.000511995657843702;0.130497020095103;0.16575879701006;1;27489765.5170204;1e+05;0.00363771746027024;0.983844321042525;0.835385841052262;0.84910368763124;57446.4150726578;0.639630041478507;FALSE;FALSE
0.2;0.2;0.8;105291.02014823;105291.02014823;82830.0931319713;27022964.7737566;0.00306517415189069;0.2;0.2;0.8;14421.7193559326;0.2739778260741;0.7260221739259;0.000533683830648304;0.136970079078249;0.174112074617069;1;27489765.5170204;1e+05;0.00363771746027024;0.98301910785762;0.828300931319712;0.84260918704307;56208.8634772253;0.6258506754847;FALSE;FALSE
0.21;0.2;0.8;104486.695385591;104486.695385591;82134.4033665522;27000346.8667027;0.00304197585949689;0.21;0.2;0.8;14983.8079907048;0.274765033356339;0.725234966643661;0.00055494872212857;0.143403980147038;0.182430350456612;1;27489765.5170204;1e+05;0.00363771746027024;0.982196332303574;0.821344033665522;0.836232030860062;55006.3393303184;0.612461318307369;FALSE;FALSE
