"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.84;0.3;0.7;51256.2418497521;51256.2418497521;29792.5712644273;2044786.51464129;0.0145700155253878;0.7;0.3;0.7;22224.8957639645;0.390324875316335;0.609675124683665;0.0108690543510667;0.433603693167996;0.745987835917382;1;2178637.18558723;1e+05;0.0459002539117343;0.938562202173254;0.297925712644273;0.317427776181932;6060.07165718448;0.0533369111010752;FALSE;FALSE
0.85;0.3;0.7;50970.4601558955;50970.4601558955;29531.2392188706;2043204.26372769;0.0144533954549374;0.708333333333333;0.3;0.7;22275.3963611077;0.390974637656724;0.609025362343276;0.010902187684587;0.43702560842059;0.75429941141358;1;2178637.18558723;1e+05;0.0459002539117343;0.93783594498639;0.295312392188706;0.314887047961242;5895.94638439603;0.0518923844387907;FALSE;FALSE
0.86;0.3;0.7;50689.0971025336;50689.0971025336;29274.1273046442;2041622.44621931;0.0143386586285109;0.716666666666667;0.3;0.7;22324.5292476443;0.391622672744574;0.608377327255426;0.0109347001395802;0.440420731947275;0.762602724765178;1;2178637.18558723;1e+05;0.0459002539117343;0.937109886733624;0.292741273046442;0.312387348795151;5736.28480201938;0.0504871443513432;FALSE;FALSE
0.87;0.3;0.7;50412.0456603205;50412.0456603205;29021.1343741145;2040041.06355757;0.0142257599087272;0.725;0.3;0.7;22372.3316209945;0.392268984954826;0.607731015045174;0.0109666084769784;0.443789402472192;0.770897902631592;1;2178637.18558723;1e+05;0.0459002539117343;0.936384028076569;0.290211343741145;0.309927695303891;5580.87727192376;0.049119345736731;FALSE;FALSE
0.88;0.3;0.7;50139.2011928698;50139.2011928698;28772.1618291499;2038460.11297587;0.0141146552959265;0.733333333333333;0.3;0.7;22418.8389315938;0.392913578117981;0.607086421882019;0.0109979286761051;0.447131952608411;0.779185070093715;1;2178637.18558723;1e+05;0.0459002539117343;0.93565836774535;0.287721618291499;0.307507128894513;5429.58014971797;0.047787724328035;FALSE;FALSE
0.89;0.3;0.7;49870.4623848624;49870.4623848624;28527.1141779143;2036879.59160874;0.0140053021766414;0.741666666666667;0.3;0.7;22464.0854328415;0.393556456236165;0.606443543763835;0.011028676179675;0.450448709688728;0.787464350327913;1;2178637.18558723;1e+05;0.0459002539117343;0.934932904424708;0.285271141779143;0.305124721174167;5282.25561927926;0.0464910671550622;FALSE;FALSE
0.9;0.3;0.7;49605.7311132413;49605.7311132413;28285.8989146343;2035299.49649948;0.013897659269942;0.75;0.3;0.7;22508.1042296688;0.394197623478646;0.605802376521354;0.0110588659154982;0.453739995854244;0.795735864629843;1;2178637.18558723;1e+05;0.0459002539117343;0.934207636757512;0.282858989146343;0.302779572781166;5138.77141756182;0.0452282101222846;FALSE;FALSE
0.91;0.3;0.7;49344.9123242954;49344.9123242954;28048.4264048594;2033719.82460751;0.0137916865762335;0.758333333333333;0.3;0.7;22550.9273248152;0.394837084177451;0.605162915822549;0.0110885123171612;0.457006128141645;0.803999732438047;1;2178637.18558723;1e+05;0.0459002539117343;0.933482563348122;0.280484264048594;0.300470812269466;4999.00057418216;0.0439980357168342;FALSE;FALSE
0.92;0.3;0.7;49087.9139163218;49087.9139163218;27814.6097759285;2032140.57281533;0.0136873453283766;0.766666666666667;0.3;0.7;22592.5856629334;0.395474842823066;0.604525157176934;0.0111176293437385;0.460247418569183;0.812256071357349;1;2178637.18558723;1e+05;0.0459002539117343;0.932757682765609;0.278146097759285;0.298197595043749;4862.82116494653;0.0427994708392083;FALSE;FALSE
0.93;0.3;0.7;48834.6466275751;48834.6466275751;27584.3648123693;2030561.7379353;0.0135845979450088;0.775;0.3;0.7;22633.1091726412;0.396110904060217;0.603889095939783;0.0111462304985885;0.463464174221365;0.820504997182033;1;2178637.18558723;1e+05;0.0459002539117343;0.932032993546828;0.275843648123693;0.295959102342479;4730.11607842763;0.0416314847488247;FALSE;FALSE
