"SCENARIO","OM","MP","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"sc000974","om006","mp0009","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0,0,"nin","none"
"sc000975","om006","mp0010","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0,0,"nin","none"
"sc000976","om006","mp0011","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0,0,"nin","none"
"sc000977","om006","mp0012","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0,0,"nin","none"
"sc000978","om006","mp0013","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0,0,"nin","none"
"sc000979","om006","mp0014","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.2,0.2,"nin","none"
"sc000980","om006","mp0015","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.2,0.2,"nin","none"
"sc000981","om006","mp0016","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.2,0.2,"nin","none"
"sc000982","om006","mp0017","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.2,0.2,"nin","none"
"sc000983","om006","mp0018","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.2,0.2,"nin","none"
"sc000984","om006","mp0019","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.2,0.2,"nin","none"
"sc000985","om006","mp0020","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.2,0.2,"nin","none"
"sc000986","om006","mp0021","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.2,0.2,"nin","none"
"sc000987","om006","mp0022","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.2,0.2,"nin","none"
"sc000988","om006","mp0023","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.2,0.2,"nin","none"
"sc000989","om006","mp0024","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.2,0.2,"nin","none"
"sc000990","om006","mp0025","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.2,0.2,"nin","none"
"sc000991","om006","mp0026","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.2,0.25,"nin","none"
"sc000992","om006","mp0027","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.2,0.25,"nin","none"
"sc000993","om006","mp0028","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.2,0.25,"nin","none"
